cell	t	lasR	LasR	lasI	LasI	AI1	LasRAI1
9	23.9172040799694	1	3	1	2	17	4
5	23.9433566050666	1	1	1	4	15	5
6	23.9828877987402	1	1	1	0	19	6
3	24.0927064957159	1	2	1	0	22	6
3	24.0945269977037	1	2	1	0	23	6
1	24.0964283065932	1	2	1	2	16	5
2	24.1021284147228	1	1	1	1	26	5
0	24.1189875363434	1	4	1	2	17	5
7	24.1406616627301	1	2	1	2	27	4
8	24.1632039996857	1	2	2	4	15	3
9	24.2033850218231	1	3	1	2	18	4
5	24.264707986551	1	1	1	4	16	5
4	24.3679510395104	1	0	1	2	19	7
6	24.4818818236763	1	1	1	0	20	6
3	24.631538238662	1	2	1	0	24	6
3	24.6321205419317	1	2	1	0	25	6
8	24.6331853924148	1	2	2	4	16	3
7	24.6422561771997	1	1	1	2	26	5
6	24.6554500918664	1	0	1	0	19	7
2	24.6727897982873	1	1	1	1	25	5
9	24.6946468736805	1	3	1	2	19	4
1	24.7184052254834	1	1	1	2	15	6
3	24.7442193172701	1	2	1	0	26	6
4	24.785594600422	1	0	1	2	20	7
5	24.8504977181383	1	1	1	4	17	5
0	24.9238646954127	1	4	1	2	18	5
2	24.9243016739001	1	1	1	1	26	5
1	24.9315753423234	1	1	1	2	14	6
8	24.9392813763207	1	2	2	4	15	3
7	24.9520759668758	1	1	1	2	27	5
5	24.9653370187243	1	1	1	4	18	5
6	24.9866545510104	1	0	1	0	18	7
4	25.0452086378446	1	0	1	1	20	7
9	25.1040245716085	1	3	1	2	18	4
3	25.1628790174236	1	2	1	1	26	6
0	25.2472141881099	1	4	1	2	17	5
8	25.2544645336984	1	2	2	4	16	3
5	25.2634520098163	1	1	1	4	17	5
4	25.275679671724	1	0	1	1	21	7
6	25.2923471457852	1	0	1	0	17	7
1	25.3092109612717	1	1	1	2	13	6
7	25.3490420184626	1	1	1	2	28	5
9	25.3992427303983	1	3	1	2	17	4
0	25.4538906901671	1	4	1	2	18	5
2	25.5105784922434	1	1	1	1	27	5
3	25.5784379258348	1	2	1	1	25	6
3	25.5796330947724	1	2	1	1	26	6
4	25.5809365975965	1	0	1	1	22	7
2	25.5847154640887	1	1	1	1	28	5
7	25.5954198045019	1	1	1	2	29	5
6	25.6082543730099	1	0	1	1	17	7
0	25.6374467517544	1	4	1	2	19	5
5	25.6739420461763	1	1	1	4	16	5
9	25.71113616408	1	3	1	2	18	4
2	25.7485187146176	1	1	1	1	29	5
8	25.7914767171551	1	2	2	4	17	3
1	25.8485132362057	1	1	1	2	14	6
0	25.8582216176965	1	4	1	2	20	5
8	25.8694000897758	1	2	2	4	18	3
7	25.8838067475535	1	1	1	2	30	5
4	25.8992508288302	1	1	1	1	23	6
5	25.9260368749328	1	1	1	3	16	5
1	25.9577516756781	1	1	1	2	14	5
3	25.9992211751469	1	2	1	1	25	6
9	26.0455830722876	1	3	1	2	19	4
6	26.0928985506125	1	0	1	1	16	7
2	26.1463245741852	1	1	1	1	30	5
6	26.1499729904408	1	0	1	1	17	7
9	26.1541834336767	1	3	1	2	18	4
3	26.1623567783336	1	2	1	1	26	6
8	26.1795975391815	1	2	2	4	19	3
0	26.1971342110137	1	4	1	2	21	5
2	26.2255114943782	1	1	1	1	31	5
7	26.2666053132216	1	1	1	2	31	5
4	26.3224285611013	1	1	1	1	24	6
5	26.3807795376579	1	1	1	3	17	5
1	26.4968938187758	1	1	1	2	15	5
5	26.4969124841773	1	1	1	3	17	4
4	26.4976411745338	1	1	1	1	23	6
0	26.5035667120865	1	4	1	2	22	5
3	26.5106815550862	1	2	1	1	27	6
2	26.5191348636908	1	1	1	1	32	5
1	26.5303072449205	1	1	1	2	16	5
8	26.5576203730343	1	2	2	4	18	3
7	26.5900132175921	1	1	1	2	32	5
9	26.6394956972836	1	2	1	2	17	5
2	26.6970795099078	1	1	1	1	31	5
6	26.7793591995178	1	0	1	1	18	7
1	26.7802604552162	1	1	1	2	17	5
4	26.7821507622757	1	1	1	1	24	6
7	26.7915245579825	1	1	1	2	31	5
3	26.7990503312358	1	2	1	1	28	6
2	26.8157224954375	1	1	1	1	32	5
8	26.8422716410168	1	2	2	4	17	3
9	26.879016019524	1	2	1	2	16	5
6	26.9460697324284	1	0	1	1	17	7
0	27.0258216114053	1	4	1	2	21	5
5	27.1300589890488	1	1	1	3	18	4
2	27.131875967727	1	1	1	1	33	5
6	27.141583266206	1	0	1	1	18	7
5	27.150131594859	1	1	1	3	19	4
9	27.160233807288	1	2	1	2	17	5
7	27.1816072524562	1	1	1	2	32	5
0	27.2319908463432	1	4	1	2	20	5
4	27.3001656481101	1	1	1	1	25	6
1	27.3765970491841	1	1	1	2	18	5
8	27.5058131539299	1	2	2	4	18	3
3	27.6362363570406	1	2	1	1	29	6
0	27.636611904778	1	5	1	2	20	5
8	27.637350644105	1	2	2	4	19	3
1	27.6437493671001	1	1	1	2	19	5
8	27.6509611356341	1	2	2	4	20	3
4	27.6602062090569	1	1	1	1	26	6
9	27.6783982190573	1	2	1	2	18	5
7	27.7152148719215	1	1	1	2	31	5
2	27.7548509176158	1	1	1	1	32	5
3	27.795445622065	1	2	1	1	28	6
5	27.8456659625554	1	1	1	4	19	4
6	28.032779515841	1	1	1	1	19	6
9	28.0438471243287	1	2	1	2	19	5
5	28.0573167859147	1	1	1	4	20	4
2	28.0735726358871	1	1	1	1	33	5
4	28.0966569671909	1	1	1	1	27	6
0	28.1313143076877	1	5	1	2	21	5
1	28.1746044496576	1	1	1	2	20	5
6	28.2196076589207	1	1	1	1	18	6
3	28.273148734359	1	2	1	1	27	6
8	28.3552147413175	1	2	2	4	21	3
7	28.4756200353186	1	1	1	2	32	5
5	28.4771608661431	1	1	1	4	19	4
7	28.4804755004625	1	1	1	2	31	5
8	28.4838284205216	1	2	2	4	22	3
3	28.49313459732	1	2	1	1	28	6
6	28.5024565011299	1	1	1	1	19	6
1	28.5207090843505	1	1	1	2	21	5
0	28.541272634644	1	5	1	2	22	5
2	28.5696911662853	1	1	1	1	34	5
4	28.6032637693024	1	1	1	1	28	6
9	28.6527300141788	1	2	1	2	20	5
2	28.6562046933723	1	1	1	1	35	5
9	28.6584124419642	1	3	1	2	20	5
0	28.6673812301633	1	5	1	2	21	5
5	28.677356109376	1	1	1	4	20	4
8	28.6935741234374	1	2	2	4	23	3
